"N"	"Dose"	"Strain"	"Line"	"SUBJECT.NAME"	"Sex"	"ID"	"Age"	"Weight"	"SpleenIndex"	"Log10.CFUs.g.Spleen"	"Log10.CFUs.g.Liver"	"Batch"	"Exp"	"Date"	"B6"	"S.129"
"111"	9	1208	"CC006/TauUnc(IL-16750)"	"CC006"	"IL-16750"	0	NA	11	18.7	0.77	5.56	3.95	"E"	6	20150326	7.02	5.20333333333333
"112"	10	1208	"CC068/TauUnc(IL-16768)"	"CC068"	"IL-16768"	0	NA	12	20.6	0.66	6.16	4.49	"E"	6	20150326	7.02	5.20333333333333
"113"	11	1208	"CC068/TauUnc(IL-16768)"	"CC068"	"IL-16768"	0	NA	12	21.1	0.9	5.29	3.62	"E"	6	20150326	7.02	5.20333333333333
"114"	12	1208	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	NA	11	21.2	0.75	5.15	3.62	"E"	6	20150326	7.02	5.20333333333333
"115"	13	1208	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	NA	11	21.7	0.71	5.38	3.87	"E"	6	20150326	7.02	5.20333333333333
"116"	14	1208	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	NA	11	18.7	0.52	5.08	3.78	"E"	6	20150326	7.02	5.20333333333333
"117"	15	1208	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	11	20.4	1.04	7.15	5.13	"E"	6	20150326	7.02	5.20333333333333
"118"	16	1208	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	11	18.1	1.05	6.99	4.89	"E"	6	20150326	7.02	5.20333333333333
"119"	17	1208	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	11	18.5	0.96	7.18	5.23	"E"	6	20150326	7.02	5.20333333333333
"120"	18	1208	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	11	19	0.89	6.76	4.51	"E"	6	20150326	7.02	5.20333333333333
"121"	1	1115	"CC009"	"CC009"	"OR5489"	1	117589	9	25	0.85	5.66	4.27	"G"	8	20150424	6.27	5.135
"122"	2	1115	"CC009"	"CC009"	"OR5489"	0	108539	15	19	0.92	5.93	4.66	"G"	8	20150424	6.27	5.135
"123"	3	1115	"CC011/Unc"	"CC011"	"OR3252"	1	120655	7	23	0.72	4.97	4.43	"G"	8	20150424	6.27	5.135
"124"	4	1115	"CC011/Unc"	"CC011"	"OR3252"	1	120657	7	31	0.67	4.65	3.89	"G"	8	20150424	6.27	5.135
"125"	5	1115	"CC011/Unc"	"CC011"	"OR3252"	1	114015	11	27	0.9	4.04	2.78	"G"	8	20150424	6.27	5.135
"126"	6	1115	"CC018/Unc"	"CC018"	"OR3609"	1	114827	10	25	0.77	5.5	4.53	"G"	8	20150424	6.27	5.135
"127"	7	1115	"CC018/Unc"	"CC018"	"OR3609"	1	114828	10	27.5	0.89	5.71	4.58	"G"	8	20150424	6.27	5.135
